;;;;
;;;;
Étiquettes de lignes;Somme de OBJECTIF EN VOLUME;Somme de VOLUME REALISE;;
BD Agadir; 	24 934 933   ; 	7 995 044   ;;
BD Casa 1; 	16 841 095   ; 	6 808 960   ;;
BD Casa 2; 	16 786 336   ; 	5 256 760   ;;
BD Casa 3; 	14 725 328   ; 	4 703 584   ;;
BD Casa 4; 	15 295 674   ; 	6 073 036   ;;
BD Casa 5; 	17 085 923   ; 	6 491 900   ;;
BD Fes 1; 	21 134 874   ; 	6 702 200   ;;
BD Gharb; 	17 358 437   ; 	6 643 460   ;;
BD Grand Agadir; 	21 121 860   ; 	7 103 160   ;;
BD Grand Fes; 	14 704 018   ; 	4 344 532   ;;
BD Grand Marrakech; 	19 996 479   ; 	6 831 928   ;;
BD Grand Meknes; 	20 180 081   ; 	5 882 360   ;;
BD Marrakech 1; 	17 418 758   ; 	5 903 460   ;;
BD Marrakech 2; 	19 086 487   ; 	7 635 692   ;;
BD Meknes; 	19 197 468   ; 	5 841 044   ;;
BD Mohamedia; 	20 346 848   ; 	6 648 892   ;;
BD Oriental; 	14 572 998   ; 	4 397 948   ;;
BD Rabat 1; 	19 927 178   ; 	6 890 724   ;;
BD Rabat 2; 	16 238 859   ; 	5 252 572   ;;
BD Salé; 	18 644 851   ; 	6 181 712   ;;
BD Tanger; 	14 157 315   ; 	4 993 704   ;;
BD Tetouan; 	22 399 381   ; 	7 218 320   ;;
(vide); 	-00   ; 	42 139   ;;
Total général; 	402 155 179   ; 	135 843 131   ;;